total_task	shipper_binned	shipper_id	distance_sum	distance_mean	distance_std	price_sum	price_mean	price_std	pricekm_sum	pricekm_mean	pricekm_std	size_1	size_2	size_3	size_4	size_5	company_down	company_midlow	company_mid	company_midup	company_top
19	(12, 52]	7824	108.74200000000002	5.7232631578947375	3.036109129975865	85789.00000000001	4515.21052631579	1735.0664364656782	17381.1087309153	914.7951963639632	358.36732337011887	0.0	1.0	18.0	0.0	0.0	0.0	1.0	11.0	7.0	0.0
757	(365, 1000]	7871	8904.684839999993	11.763123963011878	4.09188720517447	1972592.5499999998	2605.8025759577276	1957.6881682879418	214505.02256604296	283.36198489569745	314.14601772765036	2.0	362.0	383.0	8.0	2.0	0.0	4.0	57.0	47.0	649.0
7	(0, 12]	8234	60.49999999999999	8.642857142857142	6.274513830530922	46516.0	6645.142857142857	4095.5300604672007	6820.1157423932	974.3022489133143	535.2906550518265	0.0	0.0	7.0	0.0	0.0	0.0	1.0	1.0	0.0	5.0
3	(0, 12]	8727	27.4	9.133333333333333	5.532027958473577	13497.0	4499.0	433.0127018922193	1794.6853922287391	598.2284640762464	279.485805862143	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0
126	(52, 365]	8773	1738.9400000000007	13.801111111111117	6.102451562737353	913071.0300000001	7246.595476190478	3295.309806577733	74727.55246745175	593.075813233744	287.20442341170144	1.0	14.0	111.0	0.0	0.0	0.0	0.0	7.0	23.0	96.0
130	(52, 365]	9060	1360.5171800000003	10.46551676923077	5.598036525552691	812541.2800000005	6250.317538461542	3187.7603776032397	95015.99617350387	730.8922782577221	657.9513346907457	2.0	9.0	116.0	3.0	0.0	1.0	2.0	35.0	68.0	24.0
42	(12, 52]	9241	447.87687999999997	10.663735238095237	5.605873291615237	174047.14000000004	4143.979523809525	1900.4563778426204	18081.146784602195	430.5034948714808	158.31482662062197	4.0	5.0	33.0	0.0	0.0	0.0	0.0	1.0	18.0	23.0
5	(0, 12]	9739	70.82799999999999	14.165599999999998	5.418743978082006	32446.269999999997	6489.253999999999	851.2896931303703	2635.9777639674053	527.195552793481	233.34376520933782	0.0	0.0	5.0	0.0	0.0	0.0	0.0	1.0	2.0	2.0
5	(0, 12]	9800	59.158	11.8316	7.498125952529737	33498.0	6699.6	3075.1382570544697	3568.7798734126354	713.755974682527	324.2739664205461	0.0	0.0	4.0	1.0	0.0	0.0	2.0	2.0	1.0	0.0
1	(0, 12]	9806	0.794	0.794		3500.0	3500.0		4408.060453400503	4408.060453400503		0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
34	(12, 52]	9818	510.6320999999999	15.018591176470586	3.7567544468006067	112392.87	3305.6726470588233	2084.9562415745463	8543.282911848664	251.27302681907835	201.34218801308666	0.0	0.0	34.0	0.0	0.0	0.0	1.0	0.0	4.0	29.0
545	(365, 1000]	9830	5542.250509999997	10.169266990825683	4.963520001766242	2128006.8100000005	3904.599651376148	2249.5827343451197	269265.8147946223	494.06571521949047	411.6551737139232	46.0	6.0	493.0	0.0	0.0	0.0	3.0	12.0	36.0	494.0
495	(365, 1000]	9846	4979.127373208768	10.058843178199533	4.72733998337542	2115029.0500000007	4272.785959595961	2175.2565879599115	256661.01431837145	518.5070996330736	501.08336433608855	3.0	9.0	480.0	3.0	0.0	3.0	1.0	25.0	27.0	439.0
123	(52, 365]	9939	1008.5920000000002	8.199934959349596	4.724100148054631	584299.1499999999	4750.399593495934	2049.4789040273417	98667.06410957193	802.171252923349	698.0792184167564	3.0	5.0	115.0	0.0	0.0	0.0	4.0	21.0	13.0	85.0
462	(365, 1000]	9948	4687.617279999999	10.146357748917746	2.670005989754044	967384.2400000001	2093.905281385282	894.0108638424696	111550.47927641064	241.45125384504468	161.67272418534478	29.0	1.0	430.0	2.0	0.0	2.0	0.0	1.0	0.0	459.0
2082	(1000, 5000]	10033	30805.437900000008	14.796079682997123	7.80511328276563	5476116.509999997	2630.2192651296814	1079.20845220424	778671.8828895184	374.0018649805564	780.4016862764134	36.0	828.0	1190.0	25.0	3.0	0.0	0.0	15.0	2.0	2065.0
1	(0, 12]	10035	13.334	13.334		8667.0	8667.0		649.9925003749812	649.9925003749812		0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
81	(52, 365]	10072	714.7930120000001	8.824605086419755	5.991009997683371	292275.6000000001	3608.3407407407417	2025.0031682621993	49713.85372498608	613.7512805553837	866.885753768436	5.0	9.0	67.0	0.0	0.0	10.0	0.0	26.0	25.0	20.0
1040	(1000, 5000]	10202	20627.60565000003	19.834236201923105	6.227052307607477	3806520.4300000006	3660.1157980769235	745.0674737185858	236508.01615615352	227.41155399630145	181.19379543955804	10.0	63.0	953.0	14.0	0.0	0.0	4.0	29.0	10.0	997.0
143	(52, 365]	10206	1358.8339099999996	9.502335034965032	5.518872114868241	497322.2500000001	3477.7779720279727	1986.1052167526411	66612.17373987394	465.8193967823352	305.73189270485096	0.0	6.0	136.0	1.0	0.0	0.0	1.0	28.0	28.0	86.0
67	(52, 365]	10306	680.1834999999999	10.151992537313431	4.070934319944011	354886.09	5296.807313432836	3167.5085837752113	37126.007412968866	554.1195136264009	272.67335174652777	4.0	2.0	61.0	0.0	0.0	0.0	0.0	15.0	34.0	18.0
344	(52, 365]	10666	3007.657589999999	8.743190668604647	5.2671084743455685	1662126.36	4831.762674418605	3931.096571788824	239540.03882878166	696.3373221766909	505.7886470808438	6.0	16.0	321.0	1.0	0.0	0.0	1.0	28.0	51.0	264.0
71	(52, 365]	10701	616.2474000000001	8.679540845070424	5.190979670981672	363673.46	5122.161408450705	2143.4929059619994	51111.73970863183	719.883657868054	427.9097756784554	0.0	8.0	63.0	0.0	0.0	1.0	6.0	18.0	29.0	17.0
32	(12, 52]	10718	351.74737000000005	10.992105312500001	5.847495663356035	102206.0	3193.9375	1810.3250498985872	14797.149528745658	462.4109227733018	858.9061591932028	0.0	1.0	31.0	0.0	0.0	0.0	1.0	3.0	11.0	17.0
1983	(1000, 5000]	10766	25236.469816764533	12.726409388181812	8.35919873668279	5701656.659999995	2875.268108925867	1639.2216280423693	1173347.5692442684	591.7032623521272	2063.0993364366177	7.0	564.0	1371.0	22.0	19.0	0.0	1.0	110.0	45.0	1827.0
2304	(1000, 5000]	10862	28613.313457199267	12.418972854687182	6.828938057598779	5195527.390000067	2255.003207465307	1193.648442775518	997515.3102028196	432.9493533866405	912.5828897311955	13.0	852.0	1436.0	3.0	0.0	0.0	1.0	9.0	18.0	2276.0
20	(12, 52]	11000	172.134	8.6067	5.859843262678439	108227.5	5411.375	2990.923818184644	16372.023314648246	818.6011657324123	492.42952120193553	1.0	0.0	19.0	0.0	0.0	0.0	1.0	1.0	6.0	12.0
76	(52, 365]	11007	824.9999999999999	10.855263157894735	5.397268314912453	506845.5	6669.019736842105	2566.4552368858103	54499.158322263815	717.0941884508396	323.90611553472473	0.0	0.0	76.0	0.0	0.0	0.0	0.0	0.0	0.0	76.0
1	(0, 12]	11102	0.818	0.818		3500.0	3500.0		4278.728606356968	4278.728606356968		0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
64	(52, 365]	11116	585.7769999999999	9.152765624999999	5.619152186353629	209284.0	3270.0625	1429.1984641749373	38836.80582809038	606.8250910639122	730.1796122997763	8.0	15.0	41.0	0.0	0.0	0.0	0.0	9.0	20.0	35.0
2813	(1000, 5000]	11184	28929.929711735705	10.284368898590724	5.189457851714942	6431112.1399999885	2286.211212228933	1250.1938253458052	1255015.7236083094	446.1484975500567	883.9617209664659	83.0	1064.0	1652.0	0.0	14.0	1.0	15.0	59.0	186.0	2552.0
1310	(1000, 5000]	11310	10139.260120000012	7.7398932213740546	3.734870964988072	3547308.1200000006	2707.8687938931303	505.06069006018924	668597.1850910379	510.3795306038457	637.230239416248	277.0	18.0	1010.0	5.0	0.0	0.0	4.0	28.0	15.0	1263.0
12	(0, 12]	11443	154.27574	12.856311666666668	6.300338924375178	72370.59999999999	6030.883333333332	2831.4546313715064	6671.720231151865	555.9766859293221	292.53839233052946	0.0	0.0	12.0	0.0	0.0	0.0	0.0	0.0	7.0	5.0
3	(0, 12]	11451	42.654	14.218000000000002	0.2494153162899188	17732.2	5910.733333333334	886.3481332599133	1249.6340916390895	416.54469721302985	70.3595822555201	0.0	0.0	3.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0
14	(12, 52]	11546	202.576	14.469714285714286	7.242467709798403	75574.90000000001	5398.2071428571435	4495.836859371514	5461.7785177998485	390.12703698570346	208.36242785803523	0.0	0.0	14.0	0.0	0.0	0.0	0.0	0.0	7.0	7.0
31	(12, 52]	11667	223.089	7.196419354838709	3.0728657175801826	80360.0	2592.2580645161293	446.8579914426158	14078.41503097784	454.1424203541239	331.516290040073	0.0	0.0	31.0	0.0	0.0	0.0	0.0	0.0	0.0	31.0
85	(52, 365]	11684	911.0120000000002	10.717788235294119	4.9207007270406145	352995.30000000005	4152.885882352942	2339.1182233906684	40432.92100312053	475.6814235661239	481.7568634118844	17.0	1.0	67.0	0.0	0.0	0.0	6.0	2.0	15.0	62.0
35	(12, 52]	11728	344.49	9.842571428571429	4.564474941041407	211362.43999999997	6038.9268571428565	1952.5851278072232	34188.0600148479	976.8017147099399	1741.8775981475487	0.0	7.0	28.0	0.0	0.0	0.0	0.0	10.0	13.0	12.0
20	(12, 52]	11827	148.617	7.4308499999999995	3.604460413300808	78509.59	3925.4795	1758.8791081357977	11582.691564153347	579.1345782076673	190.06057427065912	1.0	3.0	16.0	0.0	0.0	0.0	0.0	0.0	5.0	15.0
3	(0, 12]	12200	51.389	17.12966666666667	10.160313102130925	25346.059999999998	8448.686666666666	6584.25975973255	1446.1693457285435	482.05644857618114	146.0148944803206	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0
11	(0, 12]	12227	130.10841	11.828037272727272	2.81061907256779	59959.97	5450.9063636363635	4071.4148725603304	5270.667482077826	479.1515892798024	370.79053639864435	0.0	0.0	11.0	0.0	0.0	0.0	0.0	0.0	1.0	10.0
5	(0, 12]	12274	34.718999999999994	6.943799999999999	1.6550564038726898	23888.88	4777.776	1187.6585224213231	3643.3570433177633	728.6714086635527	239.08557528101844	0.0	1.0	4.0	0.0	0.0	0.0	0.0	1.0	4.0	0.0
3	(0, 12]	12278	36.547000000000004	12.182333333333334	6.438872675657855	18216.0	6072.0	2575.6628273126125	1547.746054648393	515.9153515494644	50.66954515259057	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0
3586	(1000, 5000]	12293	40191.56448083554	11.207909782720453	7.96770700443534	9395479.380000079	2620.0444450641603	1223.185712827907	1961162.314949298	546.8941201754875	1112.0463339749897	449.0	828.0	2259.0	50.0	0.0	0.0	25.0	30.0	58.0	3473.0
664	(365, 1000]	12334	6157.455447937681	9.27327627701458	5.926952298320393	2122716.1900000027	3196.861731927715	1752.3068057751107	384236.579902561	578.6695480460255	797.767967134556	61.0	14.0	588.0	1.0	0.0	0.0	0.0	47.0	50.0	567.0
51	(12, 52]	12339	453.20491999999996	8.886370980392156	4.51926527955032	183331.26000000004	3594.730588235295	1867.5528132531208	22557.611240530736	442.30610275550464	151.07588953098613	0.0	0.0	51.0	0.0	0.0	0.0	1.0	1.0	0.0	49.0
29	(12, 52]	12353	301.57099999999997	10.399	3.918458397671936	124671.86000000004	4299.029655172415	2671.4222814695586	14293.81569373627	492.89019633573344	492.69951460620086	0.0	3.0	7.0	19.0	0.0	0.0	0.0	5.0	4.0	20.0
1497	(1000, 5000]	12394	15241.157635571204	10.181134025097665	5.05945448718688	3718964.419999998	2484.2781696726774	1492.6798566817017	608743.2057993244	406.6420880423009	1562.5624577018564	29.0	183.0	1277.0	6.0	2.0	0.0	6.0	16.0	30.0	1445.0
50	(12, 52]	12524	460.34200000000004	9.206840000000001	6.0332187279076415	250656.5	5013.13	2704.7113218966488	31691.155894381485	633.8231178876297	284.34483197150934	3.0	1.0	46.0	0.0	0.0	0.0	1.0	1.0	6.0	42.0
1	(0, 12]	12799	6.5	6.5		6150.0	6150.0		946.1538461538464	946.1538461538464		0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
21	(12, 52]	12879	199.69000000000003	9.509047619047621	4.437366228701328	124283.0	5918.238095238095	1728.677989238074	15159.435793788609	721.8778949423147	287.30325164921214	0.0	2.0	14.0	5.0	0.0	0.0	0.0	7.0	0.0	14.0
3	(0, 12]	12908	15.2	5.066666666666666	1.80092568789868	13297.0	4432.333333333333	1616.5807537309524	2759.22545063223	919.7418168774101	294.9154860748914	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0
10	(0, 12]	12952	68.31299999999999	6.831299999999999	6.1662907642187035	48606.42	4860.642	1957.2141928874312	10285.270923062126	1028.5270923062126	505.66409486791423	2.0	0.0	8.0	0.0	0.0	0.0	4.0	1.0	2.0	3.0
1414	(1000, 5000]	13078	30323.672000000006	21.445312588401702	7.581191102931132	5012002.0	3544.5558698727014	482.717394407545	291093.27838072	205.86511908113155	181.78938147405142	0.0	117.0	1296.0	1.0	0.0	0.0	0.0	0.0	0.0	1414.0
2	(0, 12]	13264	7.129	3.5645	0.663973267534168	7517.0	3758.5	341.5325753131024	2164.246473633245	1082.1232368166225	297.386302913981	0.0	0.0	2.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0
16	(12, 52]	13368	134.928	8.433	4.897174110307562	65724.04999999999	4107.753124999999	1228.9033414320738	12459.418062591745	778.7136289119841	631.9686169751022	0.0	3.0	13.0	0.0	0.0	0.0	1.0	7.0	8.0	0.0
1535	(1000, 5000]	13388	15252.984574024447	9.936797768094102	5.982239100203156	3057301.9300000025	1991.7276416938128	975.5712494955375	886639.9769512876	577.6156201637052	1077.420333526578	30.0	673.0	805.0	22.0	5.0	0.0	0.0	22.0	4.0	1509.0
132	(52, 365]	13483	1554.3210000000001	11.775159090909092	5.340973247830292	661324.26	5010.032272727272	2917.6043062766344	65637.05024631726	497.2503806539186	329.8275323077752	4.0	6.0	122.0	0.0	0.0	0.0	1.0	13.0	17.0	101.0
17	(12, 52]	13627	216.09199999999998	12.711294117647057	6.660931492335606	50336.5	2960.970588235294	1545.5640603695085	4363.797582951981	256.6939754677636	109.06916707206561	0.0	0.0	17.0	0.0	0.0	0.0	0.0	0.0	16.0	1.0
3	(0, 12]	13713	9.36	3.1199999999999997	1.4764948357512129	10870.5	3623.5	213.90827473475633	3971.14560200309	1323.7152006676968	539.140750892036	0.0	2.0	1.0	0.0	0.0	0.0	0.0	2.0	1.0	0.0
2	(0, 12]	14107	10.699	5.3495	2.4741666273717295	9049.5	4524.75	1449.2153480418292	1753.9520433237858	876.9760216618929	134.69846859692584	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0
14	(12, 52]	14115	135.334	9.666714285714287	6.520225956780373	38765.0	2768.9285714285716	484.4294763765079	5700.385634484471	407.17040246317646	357.5523029228264	0.0	0.0	14.0	0.0	0.0	0.0	0.0	1.0	12.0	1.0
17	(12, 52]	14153	263.579	15.50464705882353	6.771828426846552	46332.5	2725.4411764705883	880.0405154443342	4186.920461859072	246.28943893288658	228.440210166319	0.0	0.0	17.0	0.0	0.0	0.0	0.0	0.0	0.0	17.0
69	(52, 365]	14308	727.7874000000003	10.547643478260873	4.396280038432168	334046.36	4841.251594202899	2414.677057828805	35196.08387955114	510.0881721674078	239.00568936149583	3.0	5.0	61.0	0.0	0.0	0.0	2.0	7.0	13.0	47.0
439	(365, 1000]	14322	8390.815000000006	19.11347380410024	6.86783129273048	1568719.0	3573.391799544419	910.0660051962587	99030.6201854805	225.58227832683485	158.62934245330024	20.0	90.0	328.0	1.0	0.0	0.0	0.0	0.0	4.0	435.0
8	(0, 12]	14360	52.02698000000001	6.503372500000001	3.9084821761751165	42971.0	5371.375	1745.0804064569631	9081.337197147894	1135.1671496434867	908.1153000178346	0.0	1.0	7.0	0.0	0.0	0.0	0.0	1.0	2.0	5.0
6	(0, 12]	14374	59.92400000000001	9.987333333333334	5.358695985654221	31807.36	5301.2266666666665	1382.468043589676	4022.3590645667036	670.3931774277839	313.49639689463737	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0
347	(52, 365]	14379	3260.77191	9.397037204610951	5.405394394968582	1700916.06	4901.775389048991	2629.6311243000123	229330.2677393785	660.8941433411484	515.5498717548548	2.0	7.0	337.0	1.0	0.0	0.0	2.0	24.0	52.0	269.0
3	(0, 12]	14400	19.8	6.6000000000000005	5.021480956849284	11162.71	3720.903333333333	455.4970939899979	2500.1771234855364	833.3923744951788	605.4626496520143	0.0	0.0	3.0	0.0	0.0	0.0	0.0	1.0	2.0	0.0
2650	(1000, 5000]	14401	28140.3126492588	10.61898590538068	6.237977222776974	6932337.709999997	2615.9764943396217	1703.6507845120188	1390544.5090504144	524.7337770001564	996.1723105567771	94.0	938.0	1616.0	1.0	1.0	0.0	15.0	129.0	113.0	2393.0
14	(12, 52]	14409	99.49398999999998	7.10671357142857	2.4972238859600355	37787.299999999996	2699.0928571428567	0.026726124191231077	6959.925948093172	497.13756772094087	452.8739133020295	0.0	0.0	14.0	0.0	0.0	0.0	0.0	0.0	0.0	14.0
4	(0, 12]	14420	40.723	10.18075	1.4402556196731189	28861.5	7215.375	1315.912508173194	2835.851832523919	708.9629581309797	90.36296633768691	0.0	1.0	3.0	0.0	0.0	0.0	0.0	1.0	1.0	2.0
375	(365, 1000]	14428	3162.91026	8.43442736	5.015900886118717	1268945.14	3383.8537066666663	1872.234887988684	193480.67213024155	515.9484590139775	408.73920752600725	1.0	6.0	368.0	0.0	0.0	1.0	3.0	61.0	63.0	247.0
21	(12, 52]	14440	225.713	10.748238095238095	5.083842561535142	78262.0	3726.7619047619046	1715.9489766529161	17767.063601172515	846.0506476748817	1964.0668577672602	1.0	0.0	20.0	0.0	0.0	0.0	0.0	1.0	5.0	15.0
55	(52, 365]	14478	499.41873000000004	9.080340545454547	3.945887824475284	210264.03000000003	3822.982363636364	2403.528379257495	27088.996094118844	492.5272017112517	410.2292104298301	0.0	0.0	55.0	0.0	0.0	0.0	2.0	11.0	7.0	35.0
13	(12, 52]	14482	187.698	14.438307692307692	5.370057982067721	77470.48999999999	5959.2684615384605	2437.382700992488	5969.622473280052	459.2017287138502	200.74332489418993	0.0	0.0	13.0	0.0	0.0	0.0	0.0	0.0	8.0	5.0
86	(52, 365]	14573	946.3999999999999	11.004651162790696	5.861537782101095	516434.0	6005.046511627907	3278.4426895096785	50667.53361531653	589.1573676199597	233.50538141444534	0.0	1.0	85.0	0.0	0.0	0.0	0.0	3.0	0.0	83.0
840	(365, 1000]	14578	8836.795957666072	10.519995187697706	6.639230806773662	2985136.3999999906	3553.7338095237983	2725.916416822343	490192.46835295204	583.5624623249429	1128.6645686850286	20.0	133.0	684.0	1.0	2.0	0.0	2.0	74.0	56.0	708.0
71	(52, 365]	14582	607.1138448653408	8.550899223455504	5.656526091910787	222676.50999999992	3136.2888732394354	1197.622888047759	77603.65688395934	1093.0092518867511	3145.403337818065	0.0	1.0	70.0	0.0	0.0	0.0	1.0	10.0	5.0	55.0
2	(0, 12]	14590	4.3	2.15	0.6363961030678927	10500.0	5250.0	353.5533905932738	5056.561085972851	2528.2805429864256	583.9230206630998	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0
73	(52, 365]	14591	697.5480800000001	9.555453150684933	5.324481452394338	266617.7699999999	3652.2982191780807	2166.227685907605	34137.004163475634	467.63019402021416	231.9226408306885	0.0	1.0	72.0	0.0	0.0	0.0	1.0	2.0	5.0	65.0
15	(12, 52]	14615	105.16581000000001	7.011054000000001	4.714043942248979	52475.240000000005	3498.3493333333336	1607.223907845302	10718.678258973641	714.5785505982427	584.2866153033602	0.0	0.0	15.0	0.0	0.0	0.0	0.0	12.0	0.0	3.0
30	(12, 52]	14702	386.6907	12.88969	5.613129677163639	127826.68000000001	4260.8893333333335	2406.1068528597916	12655.026650402646	421.8342216800882	297.4742256207908	0.0	3.0	27.0	0.0	0.0	0.0	4.0	2.0	3.0	21.0
18	(12, 52]	14712	188.82498	10.490276666666666	5.719025326988961	122387.75999999998	6799.319999999999	2498.551729530765	12928.252520218695	718.2362511232609	192.8328013320729	0.0	2.0	16.0	0.0	0.0	0.0	2.0	5.0	5.0	6.0
3	(0, 12]	14716	20.3	6.766666666666667	2.761038451983843	14698.0	4899.333333333333	1850.5405516587127	2188.228428480185	729.4094761600617	22.23852262087881	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0
106	(52, 365]	14743	855.8251500000003	8.073822169811324	3.9691849288408254	374580.77999999997	3533.780943396226	2098.8132796318732	61877.343760517804	583.7485260426208	726.9760629807384	0.0	2.0	104.0	0.0	0.0	0.0	1.0	3.0	17.0	85.0
6	(0, 12]	14770	44.692	7.448666666666667	4.559858842844443	29070.0	4845.0	2461.584570962371	4265.647275325742	710.9412125542904	200.78396435766123	0.0	6.0	0.0	0.0	0.0	1.0	2.0	2.0	1.0	0.0
47	(12, 52]	14795	436.4807999999999	9.286825531914891	6.328425328333303	226900.25999999998	4827.665106382979	3256.5988369054962	29720.965232682058	632.3609623974905	516.5263244949667	0.0	1.0	46.0	0.0	0.0	0.0	0.0	4.0	2.0	41.0
20	(12, 52]	14818	228.84300000000005	11.442150000000002	8.086626342789355	128518.29000000001	6425.914500000001	3285.8839427665907	14664.88391383665	733.2441956918325	409.33962835330794	0.0	2.0	18.0	0.0	0.0	0.0	0.0	2.0	0.0	18.0
1111	(1000, 5000]	14831	9824.139331312685	8.84260965914733	5.198261760485767	4094122.8300000066	3685.0790549054964	2290.3895196285766	665797.3931336304	599.2775815784252	698.4699012507234	14.0	36.0	1016.0	42.0	3.0	3.0	15.0	69.0	106.0	918.0
1	(0, 12]	14862	20.0	20.0		9775.0	9775.0		488.75	488.75		0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
