shipper_id,total_days,worked_days,worked_days_ratio,mon_prob,tue_prob,wed_prob,thu_prob,fri_prob,sat_prob,sun_prob
10862,339.0,71.0,0.209439528024,0.375,0.171006944444,0.1171875,0.27734375,0.0377604166667,0.00390625,0.0177951388889
11000,184.0,9.0,0.0489130434783,0.05,0.1,0.15,0.6,0.1,0.0,0.0
11007,151.0,38.0,0.251655629139,0.276315789474,0.171052631579,0.223684210526,0.184210526316,0.131578947368,0.0131578947368,0.0
11102,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
11116,10.0,6.0,0.6,0.296875,0.34375,0.140625,0.1875,0.0,0.0,0.03125
11184,354.0,128.0,0.361581920904,0.348027017419,0.200853181657,0.087095627444,0.273729114824,0.0892285815855,0.000710984713829,0.000355492356914
11310,357.0,107.0,0.299719887955,0.212977099237,0.210687022901,0.203816793893,0.129007633588,0.243511450382,0.0,0.0
11443,19.0,5.0,0.263157894737,0.166666666667,0.25,0.0,0.416666666667,0.166666666667,0.0,0.0
11451,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
11546,30.0,4.0,0.133333333333,0.0714285714286,0.428571428571,0.428571428571,0.0,0.0714285714286,0.0,0.0
11667,11.0,3.0,0.272727272727,0.0322580645161,0.0,0.516129032258,0.0,0.451612903226,0.0,0.0
11684,36.0,14.0,0.388888888889,0.0117647058824,0.282352941176,0.376470588235,0.152941176471,0.152941176471,0.0235294117647,0.0
11728,165.0,17.0,0.10303030303,0.171428571429,0.2,0.142857142857,0.142857142857,0.314285714286,0.0285714285714,0.0
11827,190.0,4.0,0.0210526315789,0.0,0.9,0.1,0.0,0.0,0.0,0.0
12200,93.0,2.0,0.0215053763441,0.0,0.0,1.0,0.0,0.0,0.0,0.0
12227,103.0,4.0,0.0388349514563,0.181818181818,0.454545454545,0.0,0.0,0.272727272727,0.0909090909091,0.0
12274,6.0,2.0,0.333333333333,0.0,0.8,0.0,0.2,0.0,0.0,0.0
12278,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
12293,315.0,182.0,0.577777777778,0.314277746793,0.184049079755,0.132180702733,0.227272727273,0.106804238706,0.0348577802566,0.000557724484105
12334,264.0,70.0,0.265151515152,0.123493975904,0.21686746988,0.215361445783,0.21686746988,0.21234939759,0.0150602409639,0.0
12339,302.0,12.0,0.0397350993377,0.0588235294118,0.0588235294118,0.745098039216,0.0588235294118,0.078431372549,0.0,0.0
12353,281.0,9.0,0.0320284697509,0.0344827586207,0.241379310345,0.620689655172,0.0689655172414,0.0344827586207,0.0,0.0
12394,359.0,88.0,0.245125348189,0.150300601202,0.322645290581,0.160988643955,0.263861055444,0.102204408818,0.0,0.0
12524,294.0,17.0,0.0578231292517,0.38,0.06,0.02,0.12,0.42,0.0,0.0
12799,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
12879,192.0,12.0,0.0625,0.142857142857,0.190476190476,0.142857142857,0.380952380952,0.142857142857,0.0,0.0
12908,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
12952,274.0,3.0,0.0109489051095,0.0,0.2,0.0,0.8,0.0,0.0,0.0
13078,78.0,50.0,0.641025641026,0.172560113154,0.173974540311,0.207213578501,0.191654879774,0.137906647808,0.0912305516266,0.025459688826
13264,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
13368,29.0,5.0,0.172413793103,0.1875,0.0,0.375,0.1875,0.25,0.0,0.0
13388,262.0,53.0,0.202290076336,0.624755700326,0.183713355049,0.0182410423453,0.101628664495,0.0273615635179,0.0195439739414,0.0247557003257
13483,308.0,37.0,0.12012987013,0.204545454545,0.136363636364,0.287878787879,0.272727272727,0.0984848484848,0.0,0.0
